game,outcome,epsilon,replay_size,td_loss,sup_loss,elapsed_min
50,-1.0,0.2755,3000,0.0125,0.0000,0.74
100,-1.0,0.2505,5999,0.0019,0.0000,1.64
150,-1.0,0.2255,8998,0.0023,0.0000,2.54
200,-1.0,0.2005,11998,0.0021,0.0000,3.44
250,-1.0,0.1755,14998,0.0018,0.0000,4.34
300,-1.0,0.1505,17998,0.0013,0.0000,5.24
350,-1.0,0.1255,20981,0.0033,0.0000,6.14
400,1.0,0.1005,23981,0.0016,0.0000,7.05
450,-1.0,0.0755,26980,0.0017,0.0000,7.95
500,-1.0,0.0505,29980,0.0045,0.0000,8.87
50,-1.0,0.2755,120927,0.0510,0.2978,0.97
100,-1.0,0.2505,123927,0.0495,0.2961,1.96
150,-1.0,0.2255,126927,0.0539,0.2914,2.93
200,-1.0,0.2005,129926,0.0564,0.2959,3.92
250,-1.0,0.1755,132926,0.0599,0.3307,4.90
300,-1.0,0.1505,135924,0.0602,0.3120,5.89
350,-1.0,0.1255,138878,0.0635,0.2909,6.87
400,-1.0,0.1005,141878,0.0495,0.3023,7.87
450,-1.0,0.0755,144878,0.0533,0.3195,8.86
500,-1.0,0.0505,147876,0.0534,0.3259,9.85
